"creditpolicy","loanamnt","term","intrate","grade","emplength","targetloanstatus","dti","inqlast6mths","revolbal","revolutil","totalacc","delin2years","homeowner","logannualinc","ratioacc","verified","purpose_mod"
"1",5000,36,0.1065,"B",10,"0",27.65,1,13648,0.837,9,"N","N",10.0858091093301,0.333333333333333,"Y","credit_card"
"1",2500,60,0.1527,"C",1,"1",1,5,1687,0.094,4,"N","N",10.3089526606443,0.75,"Y","car"
"1",2400,36,0.1596,"C",10,"0",8.72,2,2956,0.985,10,"N","N",9.41344446795267,0.2,"N","small_business"
"1",10000,36,0.1349,"C",10,"0",20,1,5598,0.21,37,"N","N",10.8036489024804,0.27027027027027,"Y","other"
"1",3000,60,0.1269,"B",1,"0",17.94,0,27783,0.539,38,"N","N",11.289781913656,0.394736842105263,"Y","other"
"1",5000,36,0.079,"A",3,"0",11.2,3,7963,0.283,12,"N","N",10.4912742174382,0.75,"Y","wedding"
"1",7000,60,0.1596,"C",8,"0",23.51,1,17726,0.856,11,"N","N",10.7579879834538,0.636363636363636,"N","debt_consolidation"
"1",3000,36,0.1864,"E",9,"0",5.35,2,8221,0.875,4,"N","N",10.77895628989,1,"Y","car"
"1",5600,60,0.2128,"F",4,"1",5.55,2,5210,0.326,13,"N","Y",10.5966347330961,0.846153846153846,"Y","small_business"
"1",5375,60,0.1269,"B",1,"1",18.08,0,9279,0.365,3,"N","N",9.61580548008435,0.666666666666667,"Y","other"
"1",6500,60,0.1465,"C",5,"0",16.12,2,4032,0.206,23,"N","Y",11.1844213979982,0.608695652173913,"N","debt_consolidation"
"1",12000,36,0.1269,"B",10,"0",10.78,0,23336,0.671,34,"N","Y",11.2252433925184,0.352941176470588,"Y","debt_consolidation"
"1",9000,36,0.1349,"C",1,"1",10.08,1,10452,0.917,9,"N","N",10.3089526606443,0.444444444444444,"Y","debt_consolidation"
"1",3000,36,0.0991,"B",3,"0",12.56,2,7323,0.431,11,"N","N",9.61580548008435,1,"Y","credit_card"
"1",10000,36,0.1065,"B",3,"1",7.06,2,11997,0.555,29,"N","N",11.5129254649702,0.482758620689655,"Y","other"
"1",1000,36,0.1629,"D",1,"0",20.31,1,6524,0.815,23,"N","N",10.2399597891573,0.478260869565217,"N","debt_consolidation"
"1",10000,36,0.1527,"C",4,"0",18.6,2,24043,0.702,28,"N","N",10.6454248972655,0.5,"N","home_improvement"
"1",3600,36,0.0603,"A",10,"0",10.52,0,22836,0.16,42,"N","Y",11.6082356447746,0.476190476190476,"N","major_purchase"
"1",6000,36,0.1171,"B",1,"0",18.44,0,0,0.377,14,"Y","Y",11.3385720778255,0.285714285714286,"Y","medical"
"1",9200,36,0.0603,"A",6,"0",9.86,0,7314,0.231,28,"N","N",11.2565506976,0.285714285714286,"N","debt_consolidation"
"1",20250,60,0.1527,"C",3,"0",26.53,3,17813,0.856,22,"N","N",10.6775232368294,0.363636363636364,"Y","debt_consolidation"
"1",21000,36,0.1242,"B",10,"1",13.22,0,32135,0.903,38,"N","N",11.5617156291397,0.184210526315789,"Y","debt_consolidation"
"1",10000,36,0.1171,"B",10,"0",11.18,0,10056,0.824,21,"N","Y",10.8197782844103,0.380952380952381,"Y","credit_card"
"1",10000,36,0.1171,"B",5,"0",16.01,0,17800,0.918,17,"N","N",10.8197782844103,0.352941176470588,"N","debt_consolidation"
"1",6000,36,0.1171,"B",1,"1",2.4,1,5963,0.297,7,"N","N",11.2384886192685,1,"N","major_purchase"
"1",15000,36,0.0991,"B",2,"0",29.44,0,13707,0.939,31,"N","Y",11.4295438560312,0.258064516129032,"Y","credit_card"
"1",15000,36,0.1427,"C",9,"1",15.22,1,5872,0.576,11,"N","N",11.0020998412042,0.636363636363636,"N","debt_consolidation"
"1",5000,60,0.1677,"D",2,"1",13.97,0,4345,0.595,22,"Y","N",10.8198582812105,0.636363636363636,"N","other"
"1",4000,36,0.1171,"B",10,"0",5.63,0,6110,0.377,44,"Y","Y",11.5711943730942,0.272727272727273,"N","debt_consolidation"
"1",8500,36,0.1171,"B",1,"0",12.19,0,6441,0.591,12,"N","N",10.1266311038503,0.666666666666667,"Y","credit_card"
"1",4375,36,0.0751,"A",7,"0",20.34,0,11210,0.869,12,"N","Y",9.7473014693468,0.5,"Y","debt_consolidation"
"1",31825,36,0.079,"A",5,"0",14.03,0,23151,0.274,26,"N","Y",11.2252433925184,0.461538461538462,"Y","debt_consolidation"
"1",10000,60,0.1596,"C",2,"0",22.83,1,16158,0.636,31,"N","N",10.2791805023106,0.354838709677419,"Y","debt_consolidation"
"1",5000,36,0.089,"A",2,"0",11.93,0,2224,0.293,16,"N","N",10.0876407641591,0.5,"Y","debt_consolidation"
"1",7000,36,0.1596,"C",7,"0",6.35,1,6113,0.605,6,"N","N",10.4341158035983,1,"Y","credit_card"
"1",12400,36,0.1065,"B",10,"0",11.8,2,11095,0.572,12,"N","N",10.6213273456864,0.75,"N","credit_card"
"1",10800,36,0.0991,"B",2,"0",5.5,0,2535,0.133,18,"N","N",10.9258665352046,0.388888888888889,"Y","moving"
"1",15000,36,0.079,"A",1,"0",8.48,0,6704,0.504,27,"N","N",10.7144177687525,0.259259259259259,"Y","debt_consolidation"
"1",6000,36,0.1242,"B",1,"0",10.62,1,7310,0.665,12,"N","N",10.5146651702288,0.583333333333333,"Y","debt_consolidation"
"1",12500,60,0.1269,"B",1,"0",16.04,3,10143,0.5,24,"N","N",10.2035921449865,0.25,"Y","debt_consolidation"
"1",9600,36,0.0751,"A",4,"0",6.63,0,2896,0.181,11,"N","N",11.1273218059576,0.545454545454545,"Y","other"
"1",12000,36,0.079,"A",10,"0",16.7,0,8601,0.21,25,"N","N",11.0397167047755,0.6,"N","debt_consolidation"
"1",3000,36,0.1825,"D",9,"0",17.39,0,43936,0.981,22,"N","Y",11.0821425488778,0.363636363636364,"N","other"
"1",4400,36,0.1677,"D",10,"0",20.01,0,25237,0.99,11,"N","N",10.9150884642146,0.636363636363636,"N","debt_consolidation"
"1",6000,36,0.0603,"A",10,"0",5.34,1,3378,0.325,28,"N","Y",10.7276629955025,0.214285714285714,"N","debt_consolidation"
"1",14000,36,0.0991,"B",6,"0",10,1,2219,0.134,40,"N","N",11.289781913656,0.175,"N","small_business"
"1",5000,36,0.089,"A",10,"1",16.33,0,74351,0.621,35,"N","Y",11.5129254649702,0.485714285714286,"Y","debt_consolidation"
"1",10000,36,0.1065,"B",6,"0",11.47,0,7814,0.523,10,"N","N",10.2035921449865,0.7,"Y","other"
"1",10000,36,0.0603,"A",10,"0",12.74,1,14019,0.195,18,"N","N",11.0020998412042,0.611111111111111,"N","credit_card"
"1",11000,36,0.0662,"A",5,"0",10.85,0,11638,0.364,7,"N","N",11.1562505210315,0.714285714285714,"N","debt_consolidation"
"1",15000,36,0.0991,"B",8,"1",9.12,2,11845,0.637,28,"N","Y",11.289781913656,0.321428571428571,"N","debt_consolidation"
"1",25600,36,0.0991,"B",9,"0",15.71,0,26088,0.62,27,"N","N",11.6082356447746,0.407407407407407,"Y","credit_card"
"1",7000,36,0.1065,"B",1,"0",7.38,0,12168,0.929,12,"N","N",10.5966347330961,0.583333333333333,"N","debt_consolidation"
"1",12000,36,0.1596,"C",4,"1",20.88,2,15793,0.908,11,"N","N",10.8197782844103,1,"N","car"
"1",12000,36,0.0991,"B",1,"0",8.11,1,12143,0.521,12,"N","N",10.7363966754712,0.916666666666667,"N","credit_card"
"1",21000,60,0.1991,"E",7,"1",21.58,1,19448,0.976,14,"N","N",10.8197782844103,0.5,"Y","debt_consolidation"
"1",16000,60,0.1991,"E",7,"0",20.52,3,27884,0.751,21,"N","N",11.3022044336546,0.571428571428571,"Y","credit_card"
"1",10000,36,0.1242,"B",1,"0",18.58,0,12874,0.727,10,"N","Y",10.5713169251118,0.5,"N","debt_consolidation"
"1",10000,36,0.1065,"B",2,"0",19.14,3,10160,0.591,24,"N","N",10.8473934514433,0.416666666666667,"N","credit_card"
"1",7100,36,0.1677,"D",1,"0",24,2,6021,0.912,8,"N","Y",10.4042628404486,0.5,"Y","debt_consolidation"
"1",13000,60,0.1269,"B",1,"0",13.72,0,17080,0.589,27,"N","Y",10.3089526606443,0.62962962962963,"Y","debt_consolidation"
"1",17500,60,0.1727,"D",6,"0",19.47,1,10724,0.589,6,"N","N",10.5966347330961,0.833333333333333,"Y","small_business"
"1",17675,60,0.1465,"C",1,"0",16.46,2,6661,0.574,14,"N","N",10.8197782844103,0.428571428571429,"Y","debt_consolidation"
"1",8000,36,0.1677,"D",1,"0",21.64,3,6088,0.669,20,"N","N",11.0348896640272,0.7,"N","debt_consolidation"
"1",10000,60,0.1065,"B",10,"1",21.73,1,11170,0.301,15,"N","N",10.7363097151686,0.466666666666667,"Y","debt_consolidation"
"1",3500,36,0.1065,"B",7,"0",5.39,1,6611,0.459,12,"N","Y",10.9150884642146,0.75,"N","debt_consolidation"
"1",12500,60,0.1727,"D",5,"1",13.16,0,9844,0.708,28,"N","N",10.3089526606443,0.25,"Y","debt_consolidation"
"1",16425,36,0.1427,"C",4,"0",22.71,1,15747,0.834,18,"N","N",10.7042327436941,0.555555555555556,"Y","debt_consolidation"
"1",8200,60,0.2128,"F",4,"1",12.48,3,9012,0.739,11,"N","N",11.2252433925184,0.545454545454545,"Y","small_business"
"1",15000,36,0.1465,"C",2,"0",11.88,1,19397,0.795,18,"N","Y",11.0186291431554,0.444444444444444,"Y","credit_card"
"1",20975,60,0.1758,"D",5,"0",18.79,0,20657,0.794,21,"N","Y",10.6919449129004,0.619047619047619,"Y","credit_card"
"1",6400,36,0.1677,"D",5,"1",20.22,0,7159,0.675,27,"N","N",11.2252433925184,0.333333333333333,"N","debt_consolidation"
"1",3000,36,0.1349,"C",1,"0",18.11,0,2745,0.832,7,"N","N",10.4222813459513,0.571428571428571,"N","debt_consolidation"
"1",12000,36,0.1677,"D",3,"0",20.57,1,11443,0.97,19,"N","N",10.8197782844103,0.684210526315789,"N","credit_card"
"1",14400,36,0.089,"A",1,"0",14.85,0,63864,0.55,38,"N","Y",11.9183905730784,0.315789473684211,"Y","debt_consolidation"
"1",12000,36,0.1465,"C",10,"0",16.56,2,17116,0.785,36,"N","N",11.4075649493124,0.333333333333333,"N","debt_consolidation"
