"profit","loss","targetloanstatus"
532.5,0,"0"
0,2500,"1"
383.04,0,"0"
1349,0,"0"
380.7,0,"0"
395,0,"0"
1117.2,0,"0"
559.2,0,"0"
0,5600,"1"
0,5375,"1"
952.25,0,"0"
1522.8,0,"0"
0,9000,"1"
297.3,0,"0"
0,10000,"1"
162.9,0,"0"
1527,0,"0"
217.08,0,"0"
702.6,0,"0"
554.76,0,"0"
3092.175,0,"0"
0,21000,"1"
1171,0,"0"
1171,0,"0"
0,6000,"1"
1486.5,0,"0"
0,15000,"1"
0,5000,"1"
468.4,0,"0"
995.35,0,"0"
328.5625,0,"0"
2514.175,0,"0"
1596,0,"0"
445,0,"0"
1117.2,0,"0"
1320.6,0,"0"
1070.28,0,"0"
1185,0,"0"
745.2,0,"0"
1586.25,0,"0"
720.96,0,"0"
948,0,"0"
547.5,0,"0"
737.88,0,"0"
361.8,0,"0"
1387.4,0,"0"
0,5000,"1"
1065,0,"0"
603,0,"0"
728.2,0,"0"
0,15000,"1"
2536.96,0,"0"
745.5,0,"0"
0,12000,"1"
1189.2,0,"0"
0,21000,"1"
3185.6,0,"0"
1242,0,"0"
1065,0,"0"
1190.67,0,"0"
1649.7,0,"0"
3022.25,0,"0"
2589.3875,0,"0"
1341.6,0,"0"
0,10000,"1"
372.75,0,"0"
0,12500,"1"
2343.8475,0,"0"
0,8200,"1"
2197.5,0,"0"
3687.405,0,"0"
0,6400,"1"
404.7,0,"0"
2012.4,0,"0"
1281.6,0,"0"
1758,0,"0"
1483.9,0,"0"
1571.075,0,"0"
1185,0,"0"
3583.8,0,"0"
6044.5,0,"0"
1427,0,"0"
1497.42,0,"0"
271.35,0,"0"
888.3,0,"0"
1142.64,0,"0"
2417.8,0,"0"
479.25,0,"0"
1954.8,0,"0"
1618.8,0,"0"
1278,0,"0"
745.5,0,"0"
1592.44,0,"0"
1332.45,0,"0"
819.7,0,"0"
3375.18,0,"0"
2342,0,"0"
0,17500,"1"
211.05,0,"0"
761.4,0,"0"
0,6200,"1"
2812.8,0,"0"
534,0,"0"
713.52,0,"0"
845.5,0,"0"
0,18825,"1"
2556,0,"0"
809.4,0,"0"
809.4,0,"0"
260.82,0,"0"
364.1,0,"0"
728.2,0,"0"
5598.52,0,"0"
1015.2,0,"0"
0,10000,"1"
936.8,0,"0"
890,0,"0"
1405.2,0,"0"
790,0,"0"
1189.2,0,"0"
0,25000,"1"
0,19750,"1"
991,0,"0"
1695.33,0,"0"
0,28000,"1"
1422,0,"0"
356.75,0,"0"
4263,0,"0"
3115,0,"0"
751,0,"0"
888.3,0,"0"
0,24000,"1"
797.9375,0,"0"
732.5,0,"0"
585.87,0,"0"
478.7625,0,"0"
702.6,0,"0"
0,11100,"1"
1269,0,"0"
373.86,0,"0"
2796,0,"0"
491.82,0,"0"
1997.8,0,"0"
666.5125,0,"0"
1337.85,0,"0"
0,12000,"1"
3185.6,0,"0"
4194.72,0,"0"
639,0,"0"
1417.065,0,"0"
2698,0,"0"
0,10000,"1"
1954.8,0,"0"
0,13475,"1"
894.24,0,"0"
0,5600,"1"
1712.4,0,"0"
512.55,0,"0"
792.8,0,"0"
993.6,0,"0"
2443.2,0,"0"
2590.5,0,"0"
991,0,"0"
662,0,"0"
1172,0,"0"
2180.2,0,"0"
856.2,0,"0"
1585.6,0,"0"
0,2500,"1"
1337.85,0,"0"
3105,0,"0"
1349,0,"0"
337.25,0,"0"
929.5425,0,"0"
496.8,0,"0"
0,10000,"1"
0,7750,"1"
0,20000,"1"
1192.32,0,"0"
0,21000,"1"
1491,0,"0"
1658.07,0,"0"
0,15000,"1"
0,15000,"1"
1483.9,0,"0"
3727.5,0,"0"
958.5,0,"0"
3431.9325,0,"0"
0,16000,"1"
1713.15,0,"0"
3045.6,0,"0"
1278,0,"0"
1408.68,0,"0"
4922.4,0,"0"
926.8,0,"0"
0,12000,"1"
2927.5,0,"0"
1142.1,0,"0"
1411.125,0,"0"
2698,0,"0"
439.5,0,"0"
782.775,0,"0"
1756.05,0,"0"
0,13650,"1"
0,10500,"1"
1189.2,0,"0"
534,0,"0"
1756.05,0,"0"
869.4,0,"0"
5988.5,0,"0"
305.4,0,"0"
1568.2125,0,"0"
0,15075,"1"
809.31,0,"0"
542.84,0,"0"
1490.4,0,"0"
1234.355,0,"0"
3626.7,0,"0"
2763.2,0,"0"
1490.4,0,"0"
0,9500,"1"
998.26,0,"0"
1942.56,0,"0"
5798.175,0,"0"
0,7200,"1"
0,26000,"1"
0,7000,"1"
300.4,0,"0"
259.05,0,"0"
2434.32,0,"0"
292.75,0,"0"
0,10000,"1"
662,0,"0"
524.745,0,"0"
276.5,0,"0"
794.4,0,"0"
1468.5,0,"0"
4767.4,0,"0"
1758,0,"0"
0,15600,"1"
1341.36,0,"0"
1738.8,0,"0"
3309.435,0,"0"
809.4,0,"0"
1189.2,0,"0"
1242,0,"0"
632,0,"0"
1399.7875,0,"0"
1776.6,0,"0"
2279.64,0,"0"
761.2,0,"0"
0,4000,"1"
633.15,0,"0"
434.5,0,"0"
860.685,0,"0"
0,10000,"1"
901.2,0,"0"
585.5,0,"0"
936.8,0,"0"
400.5,0,"0"
2235.6,0,"0"
1659.27,0,"0"
1618.8,0,"0"
1349,0,"0"
474,0,"0"
1522.8,0,"0"
0,12000,"1"
819.7,0,"0"
6524,0,"0"
110.6,0,"0"
0,16000,"1"
317.12,0,"0"
632,0,"0"
0,11875,"1"
301.5,0,"0"
119.16,0,"0"
3115,0,"0"
1602,0,"0"
0,14000,"1"
621,0,"0"
1276.8,0,"0"
603,0,"0"
751,0,"0"
1490.4,0,"0"
1832.8,0,"0"
2748.6,0,"0"
732.96,0,"0"
854.83,0,"0"
1030.64,0,"0"
654.06,0,"0"
1068,0,"0"
2288.275,0,"0"
1405.2,0,"0"
2477.5,0,"0"
639,0,"0"
901.2,0,"0"
1686.24,0,"0"
1242,0,"0"
936.8,0,"0"
0,8000,"1"
0,30000,"1"
0,18000,"1"
1551.575,0,"0"
1997.8,0,"0"
0,20000,"1"
1629,0,"0"
7105,0,"0"
241.2,0,"0"
1288.3,0,"0"
3553.2,0,"0"
1349,0,"0"
1580,0,"0"
1783.8,0,"0"
0,9000,"1"
0,25000,"1"
1171,0,"0"
253.26,0,"0"
0,20000,"1"
0,18000,"1"
3909.6,0,"0"
683.3325,0,"0"
