"targetloanstatus","creditpolicy","loanamnt","term","intrate","installment","grade","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"NoDefault","Y",7000,"36months",0.1269,234.82,"B",10,21.95,0,21,0.693,26,"Y","N","N","Gp2","Gp4","Y","debt_consolidation"
"NoDefault","Y",13075,"36months",0.167,464.19,"E",1,19.89,0,7,0.991,22,"N","N","N","Gp3","Gp2","Y","debt_consolidation"
"NoDefault","N",1400,"36months",0.1261,46.91,"D",2,20.4,6,8,0.421,8,"N","N","N","Gp1","Gp2","N","luxury"
"NoDefault","Y",4000,"36months",0.1114,131.22,"B",7,16.56,0,9,0.596,48,"N","N","Y","Gp5","Gp5","N","living_expenses"
"NoDefault","Y",9600,"36months",0.1461,330.97,"D",3,15.09,0,9,0.807,14,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"NoDefault","N",1500,"36months",0.1418,51.4,"E",1,16.36,0,2,0,18,"N","Y","Y","Gp1","Gp1","N","other"
"NoDefault","Y",6400,"36months",0.1008,206.76,"B",10,8.11,2,5,0.493,20,"Y","N","Y","Gp3","Gp2","N","debt_consolidation"
"NoDefault","Y",9600,"60months",0.1112,209.31,"B",4,11.97,0,6,0.032,26,"N","N","Y","Gp1","Gp1","Y","living_expenses"
"NoDefault","Y",6000,"36months",0.1111,196.75,"B",0,3.6,0,6,0.325,7,"N","N","N","Gp1","Gp1","Y","debt_consolidation"
"NoDefault","Y",12000,"36months",0.1595,421.59,"E",2,7.71,0,5,0.513,10,"N","Y","N","Gp4","Gp2","Y","debt_consolidation"
"NoDefault","Y",6400,"36months",0.202,238.5,"E",6,6.38,1,4,0,10,"N","N","N","Gp2","Gp1","Y","living_expenses"
"NoDefault","Y",10000,"36months",0.157,350.1,"D",3,12.25,0,6,0.836,6,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"NoDefault","Y",12000,"36months",0.1059,390.54,"B",10,0.72,2,3,0.049,15,"Y","N","N","Gp2","Gp1","N","living_expenses"
"NoDefault","Y",35000,"60months",0.1349,805.17,"C",1,8.98,2,10,0.122,23,"N","N","Y","Gp4","Gp3","Y","business"
"NoDefault","Y",5000,"36months",0.1299,168.45,"C",10,18.39,1,7,0.377,18,"Y","N","Y","Gp2","Gp2","N","other"
"NoDefault","Y",4000,"36months",0.1149,131.89,"B",3,8.07,0,6,0.44,7,"N","N","N","Gp1","Gp1","N","other"
"NoDefault","Y",1600,"36months",0.0639,48.96,"A",0,13.64,3,6,0.108,16,"N","N","N","Gp1","Gp1","N","car"
"NoDefault","Y",8250,"60months",0.0963,173.79,"B",10,28.75,0,16,0.262,35,"Y","N","Y","Gp2","Gp4","N","debt_consolidation"
"NoDefault","Y",35000,"60months",0.2274,981.45,"G",8,16.27,1,15,0.912,36,"N","Y","N","Gp5","Gp4","Y","debt_consolidation"
"NoDefault","Y",20000,"60months",0.1649,336.74,"D",10,13.98,1,13,0.668,19,"Y","N","Y","Gp3","Gp5","Y","credit_card"
"NoDefault","Y",8000,"60months",0.1867,206.08,"F",6,5.56,2,5,0.55,5,"N","N","N","Gp1","Gp2","N","living_expenses"
"NoDefault","N",10000,"36months",0.1435,343.48,"C",1,10.68,5,8,0.733,28,"N","N","Y","Gp3","Gp4","Y","debt_consolidation"
"NoDefault","Y",20000,"36months",0.0988,644.21,"B",5,8.25,1,13,0.158,31,"N","N","Y","Gp4","Gp4","N","living_expenses"
"NoDefault","Y",20000,"36months",0.1025,647.7,"B",3,11.35,0,14,0.544,34,"N","N","N","Gp4","Gp4","N","living_expenses"
"NoDefault","Y",9000,"36months",0.0894,285.95,"A",9,12.44,3,10,0.683,36,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",5200,"36months",0.1253,174.03,"C",1,12.34,1,11,0.539,19,"N","N","N","Gp1","Gp3","N","debt_consolidation"
"NoDefault","Y",8000,"36months",0.1292,269.25,"D",10,19.89,1,10,0.897,20,"Y","N","N","Gp2","Gp2","N","debt_consolidation"
"NoDefault","Y",1200,"36months",0.1037,38.93,"B",10,7.91,0,4,0.053,11,"Y","N","Y","Gp3","Gp1","N","luxury"
"NoDefault","Y",16425,"60months",0.1399,382.1,"C",0,29.01,1,14,0.796,34,"N","N","Y","Gp4","Gp5","Y","debt_consolidation"
