"creditpolicy","loanamnt","term","intrate","installment","grade","emplength","targetloanstatus","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","verified","purpose_mod","revolbal_bin","loanstatus"
"1",18000,36,0.1322,608.42,"C",10,"No Default",19.33,1,8,0.47,30,"Y","N","N","Gp4","Y","other","Gp2","No Default"
"1",6500,36,0.1065,211.73,"B",2,"No Default",0,2,2,0,7,"N","N","Y","Gp3","N","debt_consolidation","Gp1","No Default"
"1",14125,36,0.0849,445.83,"A",5,"No Default",25.72,0,11,0.272,14,"N","N","N","Gp2","Y","other","Gp2","No Default"
"1",20000,36,0.0888,634.88,"B",9,"No Default",15.26,2,16,0.532,38,"N","N","Y","Gp5","Y","credit_card","Gp5","No Default"
"1",27400,36,0.1099,896.92,"B",6,"No Default",18.5,1,16,0.159,38,"N","N","Y","Gp5","Y","credit_card","Gp3","No Default"
"1",18000,36,0.0699,555.71,"A",10,"No Default",17.16,0,15,0.016,36,"Y","N","Y","Gp5","Y","home_improvement","Gp1","No Default"
"1",9500,36,0.1649,336.3,"D",4,"No Default",13.25,1,4,0.653,13,"N","Y","N","Gp4","Y","medical","Gp2","No Default"
"1",12000,36,0.1036,389.24,"B",5,"No Default",23.06,4,7,0.648,12,"N","N","N","Gp2","Y","major_purchase","Gp3","No Default"
"1",2200,36,0.1199,73.07,"B",1,"No Default",11.43,3,14,0.132,31,"N","N","N","Gp2","Y","other","Gp1","No Default"
"1",6000,36,0.1242,200.5,"B",6,"No Default",24.99,1,9,0.515,17,"N","N","N","Gp1","Y","debt_consolidation","Gp3","No Default"
"1",24375,36,0.1037,790.76,"B",2,"No Default",22.52,0,5,0.611,11,"N","N","Y","Gp3","Y","credit_card","Gp5","No Default"
"1",13200,60,0.164,323.82,"E",1,"No Default",21.19,3,10,0.427,23,"N","N","Y","Gp4","Y","debt_consolidation","Gp3","No Default"
"1",28000,60,0.1649,463.94,"D",3,"No Default",18.31,0,13,0.452,63,"N","N","N","Gp4","Y","debt_consolidation","Gp4","No Default"
"1",4000,36,0.1632,141.26,"E",0,"No Default",9.72,1,5,0.962,8,"N","N","N","Gp2","Y","debt_consolidation","Gp3","No Default"
"1",8000,36,0.1025,259.08,"B",0,"No Default",20.04,0,6,0.807,21,"N","N","N","Gp2","N","debt_consolidation","Gp4","No Default"
"1",9575,60,0.1335,219.59,"C",0,"No Default",4.62,0,13,0.382,17,"N","N","Y","Gp3","N","debt_consolidation","Gp3","No Default"
"1",17000,60,0.1149,373.79,"B",2,"No Default",11.29,0,8,0.263,19,"N","N","Y","Gp4","Y","wedding","Gp4","No Default"
