"creditpolicy","loanamnt","term","intrate","installment","grade","emplength","targetloanstatus","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"1",6600,36,0.1253,220.88,"B",9,"No Default",20.2,2,14,0.457,38,"N","N","N","Gp4","Gp5","N","debt_consolidation"
"1",20000,36,0.1136,658.23,"B",1,"No Default",15.07,0,15,0.342,43,"N","N","Y","Gp5","Gp3","Y","debt_consolidation"
"1",6000,36,0.1287,201.8,"C",0,"No Default",5.81,2,9,0.252,33,"N","Y","Y","Gp1","Gp1","N","medical"
"0",1400,36,0.1286,41.2,"D",2,"No Default",16.67,4,5,0.93,17,"N","N","N","Gp2","Gp5","N","debt_consolidation"
"1",10000,60,0.0788,202.2,"A",10,"No Default",12.17,0,9,0.34,28,"Y","N","Y","Gp4","Gp2","Y","debt_consolidation"
"1",7500,36,0.0999,241.97,"B",10,"No Default",17.46,1,8,0.154,10,"Y","N","N","Gp3","Gp1","Y","debt_consolidation"
"1",6400,36,0.08,200.56,"A",7,"No Default",11.4,0,6,0.011,16,"N","N","Y","Gp2","Gp1","N","other"
"1",13000,36,0.0542,392.08,"A",5,"No Default",5.82,0,6,0.626,12,"N","N","Y","Gp3","Gp4","N","debt_consolidation"
"1",7000,36,0.1065,228.02,"B",5,"No Default",18.6,1,11,0.587,20,"N","N","N","Gp1","Gp3","N","debt_consolidation"
"1",2000,36,0.0859,63.23,"A",4,"No Default",15.96,0,6,0.162,12,"N","N","Y","Gp1","Gp2","N","car"
"1",15000,36,0.1442,515.74,"D",7,"No Default",11.22,0,8,0.686,16,"N","N","N","Gp5","Gp5","Y","credit_card"
"1",6500,36,0.1065,211.73,"B",0,"No Default",13.45,0,9,0.629,18,"N","N","N","Gp1","Gp2","Y","debt_consolidation"
"1",15000,36,0.1065,488.6,"B",6,"No Default",13.14,0,13,0.475,38,"N","N","Y","Gp3","Gp4","N","debt_consolidation"
"1",28000,36,0.0849,776.45,"A",10,"No Default",7.14,0,10,0.577,21,"Y","N","Y","Gp5","Gp5","Y","home_improvement"
"1",10000,36,0.1065,325.74,"B",2,"No Default",4.87,0,4,0.822,18,"N","N","N","Gp5","Gp2","N","small_business"
"1",25000,36,0.1557,873.63,"D",2,"No Default",18.73,2,8,0.841,38,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"1",6000,36,0.0938,191.87,"A",3,"No Default",14.72,2,18,0.316,30,"N","N","Y","Gp5","Gp5","N","debt_consolidation"
"1",1800,36,0.1171,59.54,"B",10,"No Default",15.33,1,5,0.422,16,"Y","N","N","Gp2","Gp2","N","medical"
"1",19000,60,0.1075,410.75,"B",5,"No Default",22.03,0,18,0.185,56,"N","N","Y","Gp4","Gp4","Y","debt_consolidation"
"1",35000,60,0.1269,790.82,"B",10,"No Default",20.2,1,20,0.168,43,"Y","N","Y","Gp3","Gp4","Y","major_purchase"
"1",8000,60,0.1399,186.11,"C",3,"No Default",12.39,2,14,0.743,23,"N","N","N","Gp1","Gp3","N","other"
"1",15000,36,0.1114,492.06,"B",4,"No Default",20.29,0,6,0.37,12,"N","N","N","Gp2","Gp5","N","debt_consolidation"
"1",7000,36,0.1099,229.14,"B",5,"No Default",13.75,0,10,0.368,12,"N","N","N","Gp1","Gp4","N","credit_card"
"1",30000,36,0.1171,992.28,"B",5,"No Default",19.79,0,12,0.347,32,"N","N","Y","Gp5","Gp5","Y","home_improvement"
"1",6000,60,0.1038,128.61,"B",2,"No Default",15.67,0,6,0.412,30,"N","N","Y","Gp2","Gp4","N","car"
"1",35000,36,0.1199,1162.34,"B",3,"No Default",23.7,0,16,0.304,39,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"1",3000,36,0.0603,91.31,"A",10,"No Default",11.93,0,6,0.057,15,"Y","N","Y","Gp2","Gp1","N","major_purchase"
"1",5000,36,0.1112,163.98,"B",7,"No Default",13.5,0,15,0.332,23,"N","N","N","Gp2","Gp2","Y","debt_consolidation"
"1",14000,36,0.1284,470.66,"C",4,"No Default",22.06,0,7,0.718,11,"N","N","Y","Gp3","Gp4","Y","debt_consolidation"
"1",12000,36,0.0983,386.25,"B",5,"No Default",15.74,0,11,0.319,26,"N","N","Y","Gp4","Gp5","N","debt_consolidation"
"1",4000,36,0.1074,130.47,"B",1,"No Default",1.53,0,3,0.477,10,"N","N","N","Gp3","Gp1","Y","debt_consolidation"
"1",8200,60,0.1483,194.35,"D",3,"No Default",23.15,1,7,0.775,19,"N","N","Y","Gp2","Gp3","Y","debt_consolidation"
"1",7000,36,0.0774,218.54,"A",0,"No Default",4.31,3,6,0.006,26,"N","N","N","Gp5","Gp1","Y","major_purchase"
"1",3400,36,0.1349,115.37,"C",0,"No Default",16.09,2,9,0.647,16,"N","N","N","Gp2","Gp2","N","debt_consolidation"
"1",7200,36,0.0925,229.8,"B",5,"No Default",8.8,2,9,0.625,24,"N","N","N","Gp4","Gp3","Y","credit_card"
"1",20000,60,0.1171,441.97,"B",1,"No Default",19.42,0,10,0.391,23,"N","N","Y","Gp5","Gp3","Y","debt_consolidation"
"1",5200,36,0.1008,167.99,"B",10,"No Default",11.87,0,9,0.516,11,"Y","N","Y","Gp2","Gp4","N","credit_card"
"1",6600,60,0.0788,133.45,"A",8,"No Default",7.23,2,8,0.056,25,"N","N","Y","Gp3","Gp1","N","car"
"0",7500,36,0.157,262.59,"D",3,"No Default",21.35,4,11,0.847,19,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"0",500,36,0.0838,15.76,"A",2,"No Default",2.15,10,6,0.186,6,"N","N","N","Gp1","Gp2","N","other"
"1",24000,60,0.0999,312.8,"B",1,"No Default",12,2,11,0.357,35,"N","N","Y","Gp5","Gp4","Y","house"
"1",10000,36,0.079,312.91,"A",6,"No Default",0.96,0,2,0.188,8,"N","N","N","Gp3","Gp1","N","debt_consolidation"
"1",6350,36,0.0579,159.98,"A",3,"No Default",5.24,1,9,0.252,14,"N","N","N","Gp1","Gp3","Y","major_purchase"
"1",9900,36,0.0599,301.14,"A",4,"No Default",21.87,0,12,0.565,28,"N","N","Y","Gp4","Gp5","N","debt_consolidation"
"1",3000,36,0.1645,106.14,"E",5,"No Default",0,1,3,0,9,"N","N","N","Gp1","Gp1","N","other"
"1",5150,60,0.1864,132.58,"E",1,"No Default",17.59,3,15,0.873,21,"N","N","N","Gp1","Gp4","Y","debt_consolidation"
"1",4000,36,0.1422,137.14,"C",1,"No Default",24.73,1,4,0.679,4,"N","N","N","Gp1","Gp1","Y","other"
"1",5000,36,0.0751,155.55,"A",5,"No Default",12.75,0,8,0.426,17,"N","N","N","Gp3","Gp4","N","credit_card"
"1",10000,36,0.0749,311.02,"A",4,"No Default",19.46,1,12,0.299,27,"N","N","N","Gp2","Gp3","Y","debt_consolidation"
"1",8000,36,0.1037,259.53,"B",1,"No Default",9.93,2,10,0.162,34,"N","N","Y","Gp1","Gp2","N","debt_consolidation"
"0",5500,36,0.1316,185.74,"C",0,"No Default",19.2,4,5,0.762,6,"N","N","N","Gp1","Gp3","Y","car"
"0",7125,36,0.1422,244.28,"C",10,"No Default",0.7,6,8,0.09,24,"Y","Y","Y","Gp5","Gp1","Y","credit_card"
